Title,Seller Level,Average Rating,Number of Reviewers,Price (USD)
I will help you in python,,4.9,27,5.180952380952381
I will do your microsoft excel spreadsheet google sheet excel vba,Level 1 Seller,5.0,517,10.361904761904762
I will do automated excel spreadsheet  with excel formula and excel expert,Level 2 Seller,5.0,22,10.361904761904762
"I will do your excel spreadsheet and google sheet projects, vba, formula, functions",Level 2 Seller,5.0,891,10.361904761904762
"I will automate your excel with vba, macros, and formulas",Level 2 Seller,5.0,22,10.361904761904762
I will do web scraping and data extraction from any website,Level 2 Seller,5.0,54,31.076190476190476
I will scrape websites and build scrapers for data mining using python,Level 2 Seller,5.0,107,10.361904761904762
I will web scrape or mine data from a webpage or website,Level 2 Seller,5.0,1k+,10.361904761904762
"I will be expert in excel, microsoft excel, google sheets, vba, formula, charts etc",Level 2 Seller,5.0,1k+,31.076190476190476
I will create you a beautiful custom excel spreadsheet or google sheet,Level 2 Seller,5.0,55,10.361904761904762
"I will provide service in excel, macros, vba, formulas, and report",Top Rated Seller,5.0,1k+,103.58095238095238
"I will automate microsoft excel, vba macros formulas, ms excel data dashboard services",Top Rated Seller,5.0,589,41.43333333333333
"I will do web scraping using python beautifulsoup, selenium, scrapy",Level 2 Seller,5.0,65,31.076190476190476
I will do anything with excel and macros vba as fast as possible,Level 2 Seller,5.0,371,10.361904761904762
"I will be your google sheets formula, script, and automation expert",Top Rated Seller,5.0,177,103.58095238095238
I will be the problem solving excel expert for microsoft excel assignment and project,Level 2 Seller,5.0,161,10.361904761904762
"I will automate google sheet and excel formulas, macros, vba, apps script, api",Top Rated Seller,5.0,333,103.58095238095238
I will scrape data using selenium,,5.0,11,31.076190476190476
"I will do web scraping, data mining and web crawling using python from any website",Level 2 Seller,5.0,140,20.71904761904762
"I will do web scraping, data scraping and data extraction",Level 2 Seller,5.0,1k+,20.71904761904762
"I will do excel vba, macros, automation, ms excel and formulas",Level 2 Seller,4.9,122,20.71904761904762
I will create and fix any excel formula and macros,Level 2 Seller,5.0,1k+,10.361904761904762
"I will do web scraping, data mining, data scraping, automation",Level 2 Seller,5.0,120,20.71904761904762
"I will automate your excel, csv, xml, json data tasks using python",Level 2 Seller,4.9,50,5.180952380952381
"I will do perfect web scrapping,data from any website in any format",Level 2 Seller,5.0,344,5.180952380952381
"I will do web scraping, data mining, and data extraction",Level 2 Seller,4.9,424,10.361904761904762
I will do ms excel macro excel vba microsoft function formula automation,Level 2 Seller,5.0,69,10.361904761904762
I will simplify and streamline google sheets with apps script,Top Rated Seller,5.0,53,77.68571428571428
I will build intuitive google sheets spreadsheet or fix your sheet,Top Rated Seller,5.0,352,77.68571428571428
I will do microsoft excel macro excel vba excel formula spreadsheet,Level 2 Seller,5.0,186,10.361904761904762
I will linkedin company and person all information scraping,Level 2 Seller,5.0,94,5.180952380952381
I will do anything you need in excel spreadsheet,Level 2 Seller,5.0,846,15.538095238095238
"I will do data mining, web scraping, data extraction, web crawling and data collection",Top Rated Seller,5.0,1k+,31.076190476190476
I will build deploy web scraping scripts in python or node js to  vps with gui,Top Rated Seller,5.0,65,176.08095238095237
I will automate your excel or google sheets spreadsheet with macros,Level 2 Seller,5.0,129,129.47142857142856
I will do python web scraping and data mining,Top Rated Seller,5.0,702,41.43333333333333
I will get you financial data from bloomberg,,5.0,26,15.538095238095238
"I will develop excel formulas, reports and dashboards",Level 2 Seller,5.0,85,51.79047619047619
"I will do web scraping, website scraping, web scraper in python",Top Rated Seller,5.0,637,77.68571428571428
I will collect and scrape best quality leads from your required instagram accounts,Level 2 Seller,4.9,43,5.180952380952381
"I will do web scraping, data extraction and data mining",Level 2 Seller,5.0,88,20.71904761904762
I will do anything you need in excel vba for mac and windows,Level 2 Seller,5.0,65,31.076190476190476
"I will do web scraping, data mining in 5 hours",Level 2 Seller,4.9,243,25.895238095238096
I will do web crawling or web scraping  from  directory website,Level 2 Seller,4.9,215,10.361904761904762
I will scrap websites and provide cleaned data within 24 hours,Level 1 Seller,5.0,27,10.361904761904762
I will conduct web scraping using python,Level 2 Seller,5.0,43,10.361904761904762
I will do any work in excel or google sheet including automation,Level 2 Seller,5.0,105,51.79047619047619
I will develop google sheets formulas and dashboard,Level 1 Seller,4.9,21,10.361904761904762
"I will manual web scraping, data mining, data collection for accuracy",,5.0,3,5.180952380952381
I will do any algorithm work using python,Level 2 Seller,5.0,270,41.43333333333333
I will be your google sheets expert for fixing or building a sheet on a video call,Top Rated Seller,5.0,44,41.43333333333333
"I will be trusted virtual assistant for data entry, data mining, web research, scraping",,4.9,99,5.180952380952381
I will create professional excel and google spreadsheets,Level 2 Seller,5.0,304,41.43333333333333
"I will do web scraping from any url, website upto 50k",Level 2 Seller,4.9,123,5.180952380952381
I will create a custom excel spreadsheet with formulas or macro,Level 2 Seller,5.0,1k+,10.361904761904762
"I will create microsoft excel spreadsheets, vba, functions, formulas expert",Level 2 Seller,4.9,141,10.361904761904762
I will design a professional dashboard in google sheets or excel,Level 2 Seller,5.0,51,25.895238095238096
I will do web scraping and data mining,Level 2 Seller,5.0,237,5.180952380952381
"I will do excel, excel vba, microsoft excel, data entry, and excel formulas automation",Level 2 Seller,5.0,371,20.71904761904762
"I will do python scripts, web scraping, PDF extraction and automation",Level 2 Seller,5.0,38,25.895238095238096
"I will do web scraping, find email address and contact info by linkedin research",Level 2 Seller,4.8,31,20.71904761904762
I will do microsoft excel spreadsheet google sheet excel vba dashboard excel sheet,Level 2 Seller,5.0,74,10.361904761904762
"I will accurately scrape linkedin for leads, emails, etc",Level 2 Seller,5.0,15,31.076190476190476
"I will do web scraping data extraction to csv,json,xml and database",Level 2 Seller,4.9,132,20.71904761904762
I will do python web scraping data extraction for any site in 1 day,,4.9,8,10.361904761904762
I will do web scraping and data extraction for any website,Level 2 Seller,5.0,106,103.58095238095238
I will do excel formula macro vba dashboard chart graph google sheets userform,Level 2 Seller,5.0,655,10.361904761904762
I will do thorough internet research for contacts,Level 2 Seller,4.9,178,15.538095238095238
"I will do data collection, email collection,data mining,linkedin scraping, web scraping",Level 2 Seller,5.0,59,5.180952380952381
"I will build python scripts do web scraping, data mining extraction",Level 2 Seller,5.0,60,20.71904761904762
"I will do excel, spreadsheet, graphs, formulas, data entry, macros,vba, cashflow,pivot",Level 2 Seller,4.9,169,5.180952380952381
"I will scrape product data from amazon, ebay, shopify and any ecommerce website",Level 2 Seller,5.0,88,5.180952380952381
"I will automate excel, google sheets, macros, vba, and apps script",Level 2 Seller,5.0,57,20.71904761904762
I will scrape data from any website to csv or import to wordpress,Level 2 Seller,4.9,75,20.71904761904762
"I will create web scraper for scraping, web crawler, and bots to automate the task",,5.0,86,5.180952380952381
I will scrape google maps business data with emails,Level 2 Seller,5.0,26,5.180952380952381
I will do web scraping data extraction for any website,Level 2 Seller,4.9,400,20.71904761904762
"I will do python web scraping, data mining, data scraping, web scraper",Level 2 Seller,5.0,214,20.71904761904762
I will do web scraping data scraping data extraction in python,Level 2 Seller,5.0,68,10.361904761904762
"I will scrape, crawl, data mining any website",Level 2 Seller,5.0,18,20.71904761904762
I will build web scraper with octoparse in 24 hours,Level 2 Seller,4.9,99,51.79047619047619
I will make professional excel and google sheets,Top Rated Seller,5.0,431,103.58095238095238
I will do data mining or be your professional web scraper,Level 2 Seller,5.0,471,10.361904761904762
"I will create professional excel templates, do macros, vba, formulas, excel automation",Level 2 Seller,5.0,165,10.361904761904762
I will do import products reviews from amazon to shopify,Level 2 Seller,5.0,181,5.180952380952381
I will solve or create formulas for google sheets and excel,Top Rated Seller,5.0,936,10.361904761904762
I will do python web scraping and automation,Level 2 Seller,5.0,94,51.79047619047619
"I will do web scraping, data mining any website upto 50k in 1 day",Level 2 Seller,5.0,946,10.361904761904762
"I will build excel spreadsheet, charts, pivottables, macros",Level 2 Seller,4.9,304,20.71904761904762
"I will assist you with excel formulas, charts, and data entry",Level 2 Seller,5.0,73,10.361904761904762
I will scrape google maps businesses data with emails,Level 2 Seller,5.0,425,10.361904761904762
I will scrape active targeted email and data from any social media platform,Level 2 Seller,4.9,70,5.180952380952381
"I will do web scraping,data extraction data mining from any website",Level 2 Seller,5.0,241,10.361904761904762
"I will do advance excel automation vba python, web scraping",,4.9,26,10.361904761904762
I will do web scraping using excel vba,Level 2 Seller,5.0,444,10.361904761904762
"I will automate your google sheets scripts, spreadsheets and automation",Level 2 Seller,5.0,194,5.180952380952381
"I will do microsoft excel formulas, automation, macros, and vba",Level 2 Seller,5.0,129,15.538095238095238
I will do python web scraping data mining from any website,Level 2 Seller,5.0,103,20.71904761904762
I will professionally do your web scraping or python scripts,Level 2 Seller,5.0,254,62.147619047619045
I will do scrape products and upload in shopify or woocommerce,Level 2 Seller,5.0,46,5.180952380952381
"I will do excel formulas, macros, vba, task automation, forms",Level 2 Seller,5.0,135,5.180952380952381
"I will excel spreadsheet excel vba, excel formulas, excel macros, google sheets scripts",Level 2 Seller,4.9,152,10.361904761904762
I will automate your google sheet using scripts,Level 2 Seller,5.0,377,5.180952380952381
"I will do data entry,data mining,web scraping and data extraction",,5.0,12,5.180952380952381
"I will do anything you need in excel, vba and macros very fast",,5.0,295,82.86190476190477
"I will do anything in microsoft excel, excel vba, excel macro, formulas and dashboard",Level 1 Seller,5.0,59,31.076190476190476
"I will do web scraping , data scraping, scraping emails, website scraping",Level 2 Seller,5.0,63,10.361904761904762
"I will do vba programming, macros, and advanced excel, contact me first",,5.0,215,25.895238095238096
"I will your excel google spreadsheet,formulas, functions,vba consultant",Level 2 Seller,5.0,92,10.361904761904762
"I will do web scraping, data extraction and automate any web tasks",,5.0,39,51.79047619047619
I will write python programs for data scrapping and automation,Level 1 Seller,5.0,13,25.895238095238096
I will do web scraping or web automation,Level 2 Seller,5.0,34,10.361904761904762
I will do scala and spark related tasks,Level 2 Seller,5.0,140,31.076190476190476
I will manage your data related tasks sql etl CSV json excel,Level 2 Seller,5.0,40,10.361904761904762
"I will do your python work, scripts, dataanalysis, csv, api",Top Rated Seller,4.9,60,51.79047619047619
"I will python script to parse, extract, convert data csv, json, html, xml",,5.0,17,51.79047619047619
I will implement all your data needs in AWS and oracle cloud,,5.0,15,5.180952380952381
I will do automation and build bots in python and selenium,Level 2 Seller,4.8,18,10.361904761904762
I will automate your business processes through custom webforms,,5.0,1,2589.4142857142856
I will do google sheets and  docs API integrations,Level 2 Seller,5.0,11,258.9428571428571
I will create python program for web automation and bots,Level 2 Seller,5.0,43,51.79047619047619
I will scrap zillow in less than 24 hours using rest apis,Level 1 Seller,5.0,27,31.076190476190476
"I will do big data analytics in pyspark, kafka, sqs, aws sagemaker",,5.0,29,41.43333333333333
"I will do a python script to parse, extract, convert data from CSV, XML, json, HTML,txt",Level 2 Seller,5.0,128,103.58095238095238
I will help you big data spark hive hadoop nosql database,Level 2 Seller,5.0,27,5.180952380952381
I will build data pipeline with python on cloud,Level 2 Seller,5.0,12,36.25238095238095
I will make any labview code or project,Level 2 Seller,5.0,50,10.361904761904762
I will create a python script for fetching data from any API,Level 1 Seller,4.9,36,20.71904761904762
I will data scientist data engineer data analysis or  visualization,Level 1 Seller,5.0,4,25.895238095238096
I will clean and transform dataset for data analysis and visualization,Level 1 Seller,5.0,3,20.71904761904762
I will be your AWS data engineer,Level 1 Seller,5.0,7,25.895238095238096
I will write custom scripts get data from PDF and webs automatically,Top Rated Seller,5.0,4,72.5047619047619
I will be your data engineering guy,Level 1 Seller,5.0,1,5.180952380952381
"I will audit, help or develop ssis and stored procedure in sql server",,5.0,2,41.43333333333333
"I will do analysis using r, python and SAS languages on your tasks",Level 1 Seller,5.0,3,31.076190476190476
I will develop etl pipeline using azure data factory and databricks,,5.0,1,15.538095238095238
I will create custom glue etl jobs,,5.0,3,155.36666666666667
I will extract text from image file,,5.0,1,20.71904761904762
I will do custom object detection and model training using yolov5,Level 1 Seller,None,0,82.86190476190477
I will build apache airflow etl pipelines,Level 1 Seller,5.0,9,10.361904761904762
"I will automate your google sheets, drive, gmail, calendar",,5.0,1,31.076190476190476
I will do data augmentation on images,,5.0,5,31.076190476190476
I will use datafactory and databricks to solve your problems,,5.0,2,15.538095238095238
I will produce gps machine control model or earthwork takeoff,,5.0,1,51.79047619047619
I will integrate API with google sheets or docs using apps script,Level 2 Seller,5.0,6,31.076190476190476
I will do advanced data analysis using r and python,Level 1 Seller,None,0,41.43333333333333
I will do scrapping with scrapy python,Level 2 Seller,5.0,5,10.361904761904762
"I will do fastload, tpt scripts, bteqs and tdsql",,None,0,15.538095238095238
I will code powershell and python scripts with sql server,Level 1 Seller,4.8,12,10.361904761904762
"I will do etl, elt based task with apache spark and python",,5.0,1,51.79047619047619
I will build end to end data integration pipelines,,None,0,51.79047619047619
"I will data cleaning, wrangling and organize your dataset using python",Level 1 Seller,5.0,1,5.180952380952381
I will get new sources and splunk troubleshooting,,5.0,4,25.895238095238096
"I will do PDF data extraction, image ocr, web scraping in python",Level 2 Seller,5.0,69,51.79047619047619
I will prepare alteryx workflows and excel sheets,,5.0,4,25.895238095238096
I will create spark or pyspark programs for your etl,,5.0,2,25.895238095238096
"I will do data engineering, data warehouse, databases related project",,5.0,1,25.895238095238096
I will do high quality website,,5.0,1,756.1095238095238
I will implement optimization methods for your research,Level 1 Seller,5.0,2,10.361904761904762
"I will help in etl, data transformation , data pipelines",,None,0,15.538095238095238
I will create your data science and machine learning models in python and r,,5.0,1,103.58095238095238
"I will create and build bots script, automation  and web scraping",,5.0,10,5.180952380952381
I will create a sap gui automation script for you,,5.0,1,25.895238095238096
I will do optimization of process parameter for your research,Level 1 Seller,4.6,6,10.361904761904762
I will connect any data source to bigquery,Level 1 Seller,5.0,4,51.79047619047619
"I will do data warehouse, etl, data extraction, data visualization",,5.0,2,5.180952380952381
"I will select engineering material for you, using ces material selector",Level 2 Seller,5.0,1,15.538095238095238
I will migrate your on prem data to AWS cloud,,5.0,1,51.79047619047619
"I will create pfd, professional pid from pfd on autocad plant 3d or visio",,5.0,4,10.361904761904762
"I will do data analysis and visualization with r studio, bi, data studio",,5.0,2,15.538095238095238
"I will develop data etl, pipelines, sql and data analytics",Level 2 Seller,5.0,1,5.180952380952381
"I will accomplish any big data activities like etl, analytical processing, migrations",,5.0,4,20.71904761904762
"I will help you with alteryx, pandas, sql and tableau for data cleansing and automation",Level 1 Seller,5.0,33,15.538095238095238
"I will help you in data engineering in azure,AWS and gcp",Level 1 Seller,5.0,1,51.79047619047619
"I will make your python work, scripts, data analysis, csv, api",,5.0,2,5.180952380952381
I will do data etl and data orchestration workflow,Level 1 Seller,5.0,2,51.79047619047619
I will create machine learning models for predictive analysis,Level 2 Seller,5.0,1,51.79047619047619
I will do data integration etl job using talend,Level 1 Seller,5.0,8,5.180952380952381
I will do data lakehouse and data engineer with aws and azure,Level 1 Seller,None,0,10.361904761904762
"I will do data engineering pipeline using aws, azure, gcp, spark",,5.0,1,10.361904761904762
I will develop and modify existing ssis packages,,5.0,1,20.71904761904762
"I will develop etl pipelines in azuredatafactory,synapse,databricks,snowflake,python",,5.0,4,36.25238095238095
I will create API data collection scripts in python,,5.0,3,15.538095238095238
"I will do machine learning, data science, and eda projects with python",,None,0,31.076190476190476
I will write python programs for web scraping and web automation,,4.8,2,20.71904761904762
I will design and build a full dbt project on snowflake,,5.0,1,517.8857142857142
"I will design, administrate and install your database and do data engineering",,None,0,72.5047619047619
I will provide bar bending schedule bbs,Level 1 Seller,None,0,20.71904761904762
I will schedule data extraction from bigquery and dump it into google drive,Level 1 Seller,5.0,17,31.076190476190476
"I will do data warehouse, etl, ssis,ssrs,ssas, data visualization",,4.9,8,25.895238095238096
I will create topographic map using surveys data,Level 1 Seller,4.3,1,25.895238095238096
I will do python and machine learning projects,,5.0,3,10.361904761904762
I will do data integration and implementation projects,,None,0,103.58095238095238
I will create data integration pipelines using talend,,4.8,2,10.361904761904762
I will automate google sheets using apps script or python,Level 2 Seller,5.0,17,25.895238095238096
I will develop specialised programs to extract data from PDF and webs automatically,,None,0,124.29523809523809
I will help you create apache airflow dags and etl pipelines using python and docker,,None,0,25.895238095238096
I will do data science and etl pipeline development,,5.0,2,62.147619047619045
I will do data cleaning data wrangling or visualization in python,Level 2 Seller,5.0,62,41.43333333333333
"I will do web scraping, extraction, and data collection",,5.0,1,5.180952380952381
I will help with data engineering pipelines in python and gcp,,5.0,1,41.43333333333333
I will use pyspark and datadricks in your etl pipeline,Level 2 Seller,5.0,2,103.58095238095238
"I will do data engineering pipeline using spark, hive, sql, hbase",,4.9,4,10.361904761904762
I will nft collections from opensea data mining scraping floor price,,4.7,1,31.076190476190476
I will do python web scraping and data extraction for any website,,5.0,4,25.895238095238096
I will do historical web scraping and any python programming tasks,,5.0,5,5.180952380952381
"I will integrate apis into excel, google forms and sheets",,5.0,15,51.79047619047619
I will develop your data project in python,,None,0,31.076190476190476
I will do roof measurements similar to eagle view,,5.0,2,10.361904761904762
I will use machine learning skills to modify gan for data synthesis,,5.0,1,72.5047619047619
I will do data engineering pipeline using google cloud platform,Level 1 Seller,5.0,57,51.79047619047619
I will connect any API with google sheet,Level 2 Seller,5.0,39,46.60952380952381
I will be web scraping data from the target website,,5.0,1,51.79047619047619
I will do web scraping automation with python,Level 1 Seller,5.0,8,41.43333333333333
I will provide stock market data for 1 to 1000 tickers since ipo,,5.0,1,10.361904761904762
I will assist in engineering economics problems,,3.7,2,20.71904761904762
"I will do excel related work, dashboards,  automation and vbas",,5.0,1,5.180952380952381
I will scrap ecommerce site for products and reviews,Level 1 Seller,1.0,1,20.71904761904762
I will design any etl pipeline using azure data factory,,None,0,103.58095238095238
I will do data analysis  using spss and make a report,,5.0,4,5.180952380952381
"I will do eda, features engineering and modeling in python",,5.0,4,20.71904761904762
I will do business intelligence and data warehousing project,Level 1 Seller,5.0,3,31.076190476190476
"I will do anything related to ssis, ssas, ssms, ssrs, etl, data viz",,5.0,6,10.361904761904762
"I will do big data analysis using pyspark, databricks, sql, lambda and AWS",Level 1 Seller,5.0,10,20.71904761904762
I will do a webscraper or webcrawler for your data extraction needs in python,,5.0,37,41.43333333333333
"I will do web scraping, data mining and data extraction",,None,0,5.180952380952381
I will provide solution for data related problems,,None,0,10.361904761904762
"I will do data analysis in pandas, numpy, seaborn and matplotlib",,None,0,5.180952380952381
"I will do develops etl using data stage, ssis, informatica",,None,0,41.43333333333333
I will do web and window task automation,,None,0,82.86190476190477
I will make super seo service package for rankings,,None,0,155.36666666666667
I will migrate data from source to cloud,,None,0,51.79047619047619
I will write python programs for web scraping and automation,,None,0,20.71904761904762
I will help you with artificial intelligence,,None,0,51.79047619047619
I will do whatever you need to make up with your data,,None,0,5.180952380952381
"I will provide data science, sql and machine learning solutions",,None,0,5.180952380952381
I will do data integration etl job using talend,,None,0,5.180952380952381
I will scrape data from any website,,5.0,1,20.71904761904762
I will do uml diagrams like class use case activity object sequence erd dfd diagrams,,None,0,5.180952380952381
I will write code to load files to database tables,,None,0,10.361904761904762
"I will write a google apps script for  sheet, form, drive",,None,0,15.538095238095238
"I will do data analysis by python, sql, and tableau",,None,0,5.180952380952381
I will do data analysis and machine learning in python and excel,,None,0,10.361904761904762
I will build recurring API data collection tools,,None,0,20.71904761904762
I will do data engineering  development using python and pysaprk,,None,0,41.43333333333333
"I will do data cleaning, data wrangling and visualization",,None,0,5.180952380952381
"I will bulk export import data from CSV, excel, text to database",,None,0,31.076190476190476
I will setup you channelengine API connection,,None,0,10.361904761904762
I will do cfd simulation and hydrostatic calculations,,None,0,517.8857142857142
I will help you with any google sheet project,,None,0,5.180952380952381
"I will help in industrial engineering projects, articles, designs",,None,0,5.180952380952381
"I will do big data analysis in pyspark and AWS,gcp,azure cloud",Level 1 Seller,None,0,15.538095238095238
I will assist in data engineering and cloud computing,,None,0,155.36666666666667
I will manage your data related tasks sql etl CSV json excel,,None,0,5.180952380952381
I will set up your airbyte pipelines,,None,0,103.58095238095238
I will create a custom API to integrate with 3rd party systems or apps,,None,0,362.5190476190476
I will do data analysis and website development,,None,0,31.076190476190476
"I will help in calculus, linear algebra, numerical analysis, geometry",,None,0,5.180952380952381
I will assist you in your omic data analysis,,None,0,31.076190476190476
I will develop ssis package to import a delimited file into a database table,,None,0,41.43333333333333
I will convert your etl or elt requirements into sql queries,,None,0,15.538095238095238
I will help you in data modelling etl data warehouse solutions,,None,0,15.538095238095238
"I will help in calculus, discrete math, business math, geometry, ode",,None,0,5.180952380952381
I will plot 2d and 3d curves using matlab and debug matlab code,,None,0,5.180952380952381
"I will be you azure architect,databricks,synapse ,power bi and py developer and support",,None,0,41.43333333333333
I will build your business etl pipelines to move data seamlessly,,None,0,103.58095238095238
"I will design and develope database projects,queries, er diagrams",,5.0,2,25.895238095238096
"I will do excel, CSV data cleaning using python",,None,0,5.180952380952381
I will develop qlik app and automated data loader for qlik apps,,None,0,46.60952380952381
I will do your data integration and analytics,,None,0,46.60952380952381
I will write bigquery queries for you,,None,0,20.71904761904762
I will collect targeted niche email list for email marketing in 24,,None,0,5.180952380952381
I will make it intelligenza artificiale,,None,0,51.79047619047619
I will help in operation research tasks,,None,0,5.180952380952381
I will do real estate skip tracing and llc skip tracing in bulk,,None,0,5.180952380952381
I will be your AWS data engineer,,None,0,51.79047619047619
I will provide data entry and be your virtual assistant,,None,0,15.538095238095238
"I will assist you in linear algebra, calculus, discrete math, ode, pde",,None,0,5.180952380952381
"I will help in ergonomic, human factor and work study",,None,0,5.180952380952381
I will build data and etl pipeline,,None,0,5.180952380952381
I will help in statistical quality control tasks,,None,0,5.180952380952381
I will process the data and develop etl pipelines in python,,None,0,10.361904761904762
I will create python scripts for data extraction,Level 1 Seller,None,0,31.076190476190476
I will perform data entry services  data management  services,,None,0,15.538095238095238
I will extract data from online platforms,,None,0,10.361904761904762
I will do project management on primavera p6,,None,0,10.361904761904762
I will edit and transform datasets for analysis,,None,0,196.7952380952381
I will design azure data solution architecture,,None,0,46.60952380952381
I will extract data from zerodha kiteconnect using API,,None,0,31.076190476190476
"I will design adp annual delivery program for lng, oil and gas company",Level 2 Seller,None,0,1030.5857142857142
I will help you in mathematics problems,,None,0,15.538095238095238
"I will do projects on big data, spark, pyspark, hadoop, hive, scala, databricks, ml",,None,0,31.076190476190476
I will integrate your machine learning models with apps,Level 2 Seller,5.0,6,82.86190476190477
"I will provide big data solutions using hadoop, spark, hive etc",,5.0,12,41.43333333333333
I will write the script which converts the google sheet into form,,None,0,15.538095238095238
I will clean or create visuals using your data in python,,5.0,2,5.180952380952381
"I will do your data science, ml projects in rapid miner",,None,0,10.361904761904762
"I will do python scripts, data parsing, converting  excel, CSV, json, txt",,4.9,5,103.58095238095238
"I will do advanced analytics and etl on pyspark, databricks, adf, delta lake",,None,0,46.60952380952381
I will build python projects and web automation projects,,4.3,1,10.361904761904762
I will do data engineering  related work for you,Level 1 Seller,None,0,51.79047619047619
I will do google spreadsheets automation using python scripts,Level 2 Seller,5.0,2,51.79047619047619
"I will convert your word PDF to word, ppp, exel",,None,0,5.180952380952381
I will do cloud data engineer jobs,,None,0,31.076190476190476
I will assist you in arena simulation and simio tasks,,None,0,5.180952380952381
I will create data pipelines and upgrade existing data pipelines,,None,0,517.8857142857142
I will develop or optimize apache spark job,Level 1 Seller,None,0,103.58095238095238
I will do any machine learning and deep learning project,,5.0,1,62.147619047619045
"I will process, clean and transform data",,None,0,10.361904761904762
I will do data science analysis and machine learning in python,Level 1 Seller,None,0,20.71904761904762
I will create a python script that will help you with your data analysis,,None,0,5.180952380952381
I will professionally automate your data from any to any form,,None,0,41.43333333333333
I will provide wonderful tools of scraping data by using scarpy and convert into json,,None,0,103.58095238095238
I will give you extraordinary orientation  data sciences,,None,0,20.71904761904762
I will do quantity estimation and billing for cost estimation,,None,0,10.361904761904762
I will provide complete azure data engineer course recording videos,,None,0,20.71904761904762
"I will help to solve coding problems in scala, spark, bigdata",,None,0,10.361904761904762
I will offer services on azure data engineering  pyspark,,None,0,10.361904761904762
"I will do data simulation in aspen, flow sheet production, and economic estimations",,None,0,5.180952380952381
I will do excel data entry form with database,,None,0,10.361904761904762
I will scrape websites and data analysis for you using python,,None,0,31.076190476190476
I will do data cleaning and apply machine learning models in python,,None,0,10.361904761904762
"I will do web scraping, data mining in 5 hours",,None,0,5.180952380952381
